x, y, u, v, p, 
0.451502, 0.0701047, 0.080533, -0.0146325, 0.00718339, 
0.797927, 0.15, 0.205799, 0.0139895, -0.0408197, 
0.694004, 0.11, 0.140807, -0.00169128, -0.0280374, 
0.180163, 0.58, -0.0175473, 0.0108672, 0.0686501, 
0.745966, 0.12, 0.160288, 0.00488653, -0.0343454, 
0.90185, 0.37, 0.519845, 0.0397283, -0.0609334, 
0.197483, 0.13, 0.0397142, -0.0260697, 0.0447956, 
0.971132, 0.21, 0.11887, 0.0225512, -0.053984, 
0.953816, 0.0600072, 0.0426388, 0.0102424, -0.0466443, 
0.19171, 0.939999, 0.0368415, 0.0139641, 0.056528, 
0.832524, 0.950036, 0.385463, 0.00019628, -0.0579977, 
0.226351, 0.6, -0.0168035, 0.0124001, 0.0587741, 
0.924944, 0.39, 0.511317, 0.0416535, -0.0630817, 
0.232124, 0.59, -0.0158331, 0.0114302, 0.057423, 
0.751739, 0.19, 0.220703, 0.00221819, -0.0380197, 
0.959585, 0.39, 0.346505, 0.0329126, -0.0642113, 
0.988453, 0.12, 0.0243231, 0.00716785, -0.0493671, 
0.226351, 0.12, 0.0469415, -0.0260184, 0.0408756, 
0.76906, 0.14, 0.185943, 0.00833244, -0.0375659, 
0.382235, 0.11, 0.0814628, -0.0239191, 0.0180583, 
0.88453, 0.36, 0.505019, 0.0351655, -0.0593859, 
0.78638, 0.83, 0.687529, 0.0137097, -0.0579326, 
0.382236, 0.0900008, 0.0780448, -0.0209563, 0.017867, 
0.734419, 0.12, 0.157533, 0.00315975, -0.0330824, 
0.803701, 0.14, 0.195563, 0.0150439, -0.0408915, 
0.0878774, 0.35996, -0.000615151, -0.0102973, 0.0716567, 
0.19171, 0.58, -0.0176083, 0.0109409, 0.0662882, 
0.157069, 0.66, -0.0198726, 0.0171664, 0.0732837, 
0.867209, 0.39, 0.51719, 0.0269199, -0.0598147, 
0.780607, 0.14, 0.189633, 0.0105049, -0.0387199, 
0.676684, 0.54, 0.191445, -0.00752035, -0.0436476, 
0.694026, 0.0700449, 0.101659, 0.000233506, -0.0270238, 
0.0762396, 0.54, -0.00907751, 0.00316418, 0.0835599, 
0.745966, 0.2, 0.223693, 0.000141629, -0.0378581, 
0.232124, 0.13, 0.0472809, -0.0268295, 0.0405151, 
0.162842, 0.67, -0.0197958, 0.0180754, 0.0720417, 
0.595855, 0.48, 0.115331, -0.0123682, -0.0272652, 
0.936491, 0.67, 0.793893, 0.023044, -0.0696409, 
0.243671, 0.57, -0.0141483, 0.00944136, 0.0546523, 
0.919171, 0.4, 0.539076, 0.0409912, -0.0633327, 
0.0423382, 0.520345, -0.00462013, -0.000274199, 0.0854252, 
0.780607, 0.86, 0.656819, 0.0112588, -0.0567035, 
0.214804, 0.6, -0.0174002, 0.0125629, 0.0614033, 
0.90185, 0.21, 0.285358, 0.038451, -0.0516008, 
0.763286, 0.19, 0.227518, 0.00474104, -0.0392828, 
0.832568, 0.81, 0.86485, 0.0149163, -0.0617924, 
0.988631, 0.0403092, 0.00754986, 0.00249127, -0.0467288, 
0.607402, 0.48, 0.123314, -0.0124952, -0.0294806, 
0.942265, 0.66, 0.742487, 0.0226815, -0.0699059, 
0.699778, 0.7, 0.293033, 0.00758521, -0.0497163, 
0.988483, 0.0600513, 0.0113637, 0.00374794, -0.0471708, 
0.157069, 0.68, -0.0198636, 0.0186629, 0.073004, 
0.936491, 0.41, 0.498614, 0.0398336, -0.0645139, 
0.243671, 0.59, -0.0149502, 0.0111842, 0.0547138, 
0.959614, 0.0500501, 0.0313017, 0.00783918, -0.0465282, 
0.959585, 0.75, 0.591151, 0.00789499, -0.0682163, 
